open,currentAccountsPayable,researchAndDevelopment,volume,propertyPlantEquipment,otherNonCurrentAssets,nonInterestIncome,dividendPayout,depreciationDepletionAndAmortization,ebitda,comprehensiveIncomeNetOfTax,depreciationAndAmortization,longTermDebtNoncurrent,totalRevenue,otherNonOperatingIncome,company,date,close
188.5,5601000000,292000000,695564100,2653000000.0,2952000000,88293000000.0,0,197000000,1509000000,1900000000,117000000,16100000000.0,7464000000.0,60000000,AAPL,6/30/2008,167.44
172.4,5601000000,298000000,859555800,2653000000.0,2952000000,88293000000.0,0,197000000,1576000000,1900000000,134000000,16100000000.0,7895000000.0,60000000,AAPL,9/30/2008,113.66
91.3,5601000000,315000000,721923100,2653000000.0,2952000000,88293000000.0,0,197000000,2284000000,1900000000,158000000,16100000000.0,10167000000.0,60000000,AAPL,12/31/2008,85.35
89.31,5601000000,319000000,550878500,2653000000.0,2952000000,88293000000.0,0,197000000,1839000000,1900000000,172000000,16100000000.0,8163000000.0,60000000,AAPL,3/31/2009,105.12
136.47,5601000000,341000000,452699000,2653000000.0,2952000000,88293000000.0,0,197000000,1672000000,1900000000,176000000,16100000000.0,8337000000.0,60000000,AAPL,6/30/2009,142.43
167.99,5601000000,358000000,356761400,1780000000.0,2011000000,88293000000.0,0,197000000,2390000000,2628000000,197000000,16100000000.0,12207000000.0,46500000,AAPL,9/30/2009,185.35
202.24,6511000000,398000000,406927100,3115000000.0,1961000000,88293000000.0,0,209000000,4934000000,3412000000,209000000,16100000000.0,15683000000.0,33000000,AAPL,12/31/2009,210.732
205.75,5666000000,426000000,434077600,3504000000.0,1925000000,88293000000.0,0,216000000,3979000000,3088000000,216000000,16100000000.0,13499000000.0,50000000,AAPL,3/31/2010,235.0
259.69,8469000000,464000000,594687600,2028000000.0,2119000000,88293000000.0,0,273000000,4507000000,3236000000,273000000,16100000000.0,15700000000.0,58000000,AAPL,6/30/2010,251.53
247.47,12015000000,494000000,423211400,2174000000.0,2263000000,88293000000.0,0,329000000,5776000000,4154000000,329000000,16100000000.0,20343000000.0,14000000,AAPL,9/30/2010,283.75
